Status,Type,Name,Author,Journal,DOI,Date
조사 완료,Publications,3D Mesh Model Exterior Salient Part Segmentation Using Prominent Feature Points and Marching Plane,"Yiyu Hong, Jongweon Kim","KSII TRANSACTIONS ON INTERNET AND INFORMATION SYSTEMS, 201903",https://doi.org/10.3837/tiis.2019.03.017,"March 30, 2019"
조사 완료,지식재산,특징점과 워터마크를 이용한 혼합음원의 자동 색인과 저작권 관리 시스템 및 방법(System and method for auto indexing and copyright management of mix music using feature point and watermark),상명대학교산학협력단,"한국특허등록 제10-1715099호, 2016 Feb.",https://doi.org/10.8080/1020160012376,
조사 완료,지식재산,회전각도를 모르는 이미지 파일의 워터마크 검출 방법(Digital Watermark Detecting Method for Image file With Unknown Rotation Angle),상명대학교산학협력단,"한국특허등록, 2016 Feb.",https://doi.org/10.8080/1020160023868,
조사 완료,Publications,3D Model Identification Using the Dice-Shape Flat Pattern,"Jeongseok Jo, Yongbae Kim, and Jongweon Kim","International Journal of Knowledge Engineering, 2016 Mar.",http://doi.org/10.18178/ijke.2016.2.1.048,"March 1, 2016"
조사 완료,지식재산,3D 메쉬 모델의 기술자 생성 방법 및 포즈 변형된 3D 메쉬 모델 인식 방법(A Method For Generating A Discriptor Of 3D Mesh Model And A Method For identifying a Pose-Transformed 3D Mesh Model),상명대학교산학협력단,"한국특허등록, 2016 Aug.",https://doi.org/10.8080/1020160097751,
조사 완료,지식재산,3D 모델 골격 추출 방법 및 장치(The method for extracting 3D model skeletons),상명대학교산학협력단,"한국특허등록, 2017 Feb.",https://doi.org/10.8080/1020170017581,
조사 완료,지식재산,3D Model Identification Using Weighted Implicit Shape Representation and Panoramic View,Xun Jin and Jongweon Kim,"APPLIED SCIENCES-BASEL, 2017 Jul.",https://doi.org/10.3390/app7080764,
찾을 수 없음,지식재산,3D모델 깊이 이미지를 이용한 딥러닝 기반의 3D모델 저작권 침해 판단 방법,상명대학교산학협력단,2017 Sep.,,
조사 완료,지식재산,3D 모델 깊이 이미지를 이용한 딥러닝 기반의 3D 모델 유사성 판단 방법(Deep learning based 3D model Similarity evaluation method using depth image),상명대학교산학협력단,"한국특허등록, 2017 Sep.",https://doi.org/10.8080/1020170124032,
조사 완료,지식재산,인공지능 심층학습 기반의 영상물 인식 시스템 및 방법(Artificial intelligence deep-learning based video object recognition system and method),상명대학교산학협력단,"한국특허등록, 2018 Jan.",https://doi.org/10.8080/1020180004164,
조사 완료,지식재산,딥러닝기술과 지역적 불변 이미지 특징기술을 결합한 영상속의 미술저작물 인식 방법 및 시스템,상명대학교산학협력단,2018 Jan.,https://doi.org/10.8080/1020180009129,
조사 완료,지식재산,딥러닝 기술과 이미지 특징 추출 기술을 결합한 영상물 내 미술품 인식 방법(Method for recognizing art objects in video combining deep learning technology and image feature extraction technology),상명대학교산학협력단,"한국특허등록, 2018 Jan.",https://doi.org/10.8080/1020180009129,
조사 완료,지식재산,"히스토그램을 이용한 ＣｉｔｙＧＭＬ 파일 워터마킹 방법, 워터마크 추출 방법 및 워터마킹 시스템(CityGML file watermarking method, watermark extraction method and watermarking system using histogram)",상명대학교산학협력단,"한국특허등록, 2019 Oct.",https://doi.org/10.8080/1020190132805,
조사 완료,지식재산,"동형문자를 이용한 ＣｉｔｙＧＭＬ 파일 워터마킹 방법, 워터마크 추출 방법 및 워터마킹 시스템 CityGML file watermarking method, watermark extraction method and watermarking system using isomorphic characters",상명대학교산학협력단,"한국특허등록, 2019 Oct.",https://doi.org/10.8080/1020190132804,
조사 완료,Publications,3D Model Identification Using Weighted Implicit Shape Representation and Panoramic View,Jul.Xun Jin and Jongweon Kim,"APPLIED SCIENCES-BASEL, 201708",https://doi.org/10.3390/app7080764,"July 1, 2017"
조사 전,Publications,A 2D-View Depth Image- and CNN-Based 3D Model Identification Method,,"APPLIED SCIENCES-BASEL, 201710",,
조사 전,Publications,A 3D skeletonization algorithm for 3D mesh models using a partial parallel 3D thinning algorithm and 3D skeleton correcting algorithm,,"Applied Sciences (Switzerland), 2017",,
조사 전,Publications,A Practical Video Fragment Identification System,,"International Journal of Multimedia and Ubiquitous Engineering, 201506",,
조사 전,Publications,A Tamper-Resistant Algorithm Using Blockchain for the Digital Tachograph,,"ELECTRONICS, 202103",,
조사 전,Publications,A Zero-watermarking Scheme based on LPM and Holographic,,"International Journal of Security and its Applications, 201411",,
조사 전,Publications,A reversible watermarking based on histogram shifting,,"Lecture Notes in Computer Science, 2006",,
조사 전,Publications,A robust watermarking scheme for city image,,"International Journal of Security and its Applications, 201601",,
조사 전,Publications,A spread spectrum zero video watermarking scheme based on dual transform domains and log-polar transformation,,"International Journal of Multimedia and Ubiquitous Engineering, 201504",,
조사 전,Publications,A video zero-watermarking algorithm based on LPM,,"Multimedia Tools and Applications, 201506",,
조사 전,Publications,Adaptive robust video watermarking scheme based on dual transform domains and holography,,"International Journal of Security and its Applications, 201503",,
조사 전,Publications,Application of audio watermarking procedures for mix music,,"International Journal of Security and its Applications, 201602",,
조사 전,Publications,Art painting detection and identification based on deep learning and image local features,,"Multimedia Tools and Applications, 201807",,
조사 전,Publications,Art painting identification using convolutional neural network,,"International Journal of Applied Engineering Research, 201704",,
조사 전,Publications,Artwork Identification for 360-Degree Panoramic Images Using Polyhedron-Based Rectilinear Projection and Keypoint Shapes,,"APPLIED SCIENCES-BASEL, 201705",,
